num_ligne;Rentrée scolaire;Code région;Région académique;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental
10026.0;2024-2025;06;GRAND EST;19;REIMS;52;HAUTE-MARNE;52064;BOURMONT ENTRE MEUSE ET MOUZON;0520004X;COLLEGE LOUIS BRUNTZ;public;86.2;24.3;125.1;100.9;106.1;119.6;94.3;99;111.9;92;94.8
10046.0;2024-2025;06;GRAND EST;19;REIMS;52;HAUTE-MARNE;52140;COLOMBEY LES DEUX EGLISES;0520814C;COLLEGE COLOMBEY LES DEUX EGLISES;public;97;26.7;125.1;100.9;106.1;119.6;94.3;99;111.9;92;94.8
10056.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53097;EVRON;0530007V;COLLEGE PAUL LANGEVIN;public;89.9;33.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5
10062.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53130;LAVAL;0530041G;COLLEGE EMMANUEL DE MARTONNE;public;91.2;36;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5
10070.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53152;MESLAY DU MAINE;0530063F;COLLEGE PRIVE NOTRE DAME;privé sous contrat;106.7;27.6;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5
10077.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53130;LAVAL;0530484N;COLLEGE ALAIN GERBAULT;public;76;29.4;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5
10087.0;2024-2025;17;PAYS DE LA LOIRE;17;NANTES;53;MAYENNE;53125;LANDIVY;0530804L;COLLEGE LOUIS LAUNAY;public;92.5;23.1;125.1;100.9;106.1;117.5;102.8;109.1;108.8;97.8;102.5
10107.0;2024-2025;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54400;NOMENY;0540054R;COLLEGE VAL DE SEILLE;public;108.9;31.3;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1
10153.0;2024-2025;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54165;DOMMARTEMONT;0541706L;COLLEGE RENE NICKLES;public;102.9;38;125.1;100.9;106.1;122.6;97.2;100.9;125.5;100.3;104.1
10183.0;2024-2025;06;GRAND EST;12;NANCY-METZ;55;MEUSE;55533;VAUCOULEURS;0550023B;COLLEGE LES CUVELLES;public;97.1;30.1;125.1;100.9;106.1;122.6;97.2;100.9;117.6;94.2;97.2
10238.0;2024-2025;03;BRETAGNE;14;RENNES;56;MORBIHAN;56127;MAURON;0560152L;COLLEGE PRIVE MARIE IMMACULEE;privé sous contrat;99.9;23.7;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6
10249.0;2024-2025;03;BRETAGNE;14;RENNES;56;MORBIHAN;56083;HENNEBONT;0560214D;COLLEGE PAUL LANGEVIN;public;95.1;32;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6
10252.0;2024-2025;03;BRETAGNE;14;RENNES;56;MORBIHAN;56165;PLOERMEL;0560226S;COLLEGE BEAUMANOIR;public;95.2;28.7;125.1;100.9;106.1;116.9;105.9;110.7;112.7;104.2;108.6
10316.0;2024-2025;06;GRAND EST;12;NANCY-METZ;57;MOSELLE;57724;VITRY SUR ORNE;0572019K;COLLEGE DU JUSTEMONT;public;96.5;29.8;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8
10338.0;2024-2025;06;GRAND EST;12;NANCY-METZ;57;MOSELLE;57463;METZ;0572348T;COLLEGE PAUL VERLAINE;public;112;36.9;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8
10373.0;2024-2025;06;GRAND EST;12;NANCY-METZ;57;MOSELLE;57227;FORBACH;0572922S;COLLEGE PRIVE ANTOINE GAPP;privé sous contrat;103.3;32.3;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8
10377.0;2024-2025;06;GRAND EST;12;NANCY-METZ;57;MOSELLE;57534;PELTRE;0572928Y;COLLEGE PRIVE NOTRE DAME;privé sous contrat;116.4;25.4;125.1;100.9;106.1;122.6;97.2;100.9;124.1;95.4;99.8
10395.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58145;LORMES;0580026N;COLLEGE PAUL BARREAU;public;104.3;31.3;125.1;100.9;106.1;122;101.2;104.3;113.1;99.4;101.2
10406.0;2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;58;NIEVRE;58194;NEVERS;0580061B;COLLEGE PRIVE FENELON;privé sous contrat;116;31.3;125.1;100.9;106.1;122;101.2;104.3;113.1;99.4;101.2
10426.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59112;BRUAY SUR L ESCAUT;0590031N;COLLEGE JEAN MACE;public;77.1;24.1;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10437.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59273;GRAVELINES;0590090C;COLLEGE PIERRE ET MARIE CURIE;public;90.3;29.4;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
10438.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59279;HALLUIN;0590091D;COLLEGE LILI KELLER ROSENBERG;public;88.2;29.9;125.1;100.9;106.1;119.9;91.7;99.5;120;92.8;101.7
